Stress Level,mAP@50,mAP@50-95
clean,0.7790713310241699,0.44334614276885986
level_1_dusk,0.686718225479126,0.35805612802505493
level_2_night,0.40706926584243774,0.20129609107971191
level_3_severe,0.16269950568675995,0.07932378351688385
