Stress Level,mAP@50,mAP@50-95
clean,0.7790713310241699,0.4433533847332001
level_1_dusk,0.7546588778495789,0.4233424663543701
level_2_night,0.5475685596466064,0.28667354583740234
level_3_severe,0.21508969366550446,0.1089753806591034
