Stress Level,mAP@50,mAP@50-95
clean,0.7790713310241699,0.4433533847332001
weather_1_light_rain,0.7007644772529602,0.371142715215683
weather_2_heavy_rain,0.2372312694787979,0.10730962455272675
weather_3_harmattan_fog,0.39150270819664,0.1753970831632614
