Stress Level,mAP@50,mAP@50-95
clean,0.7790713310241699,0.4433533847332001
level_1_dusk,0.5225870609283447,0.27122893929481506
level_2_night,0.4415956139564514,0.22075071930885315
level_3_severe,0.2083158642053604,0.10160661488771439
